Station,Code,Lat,Lon,Street,Number,Postal Code,City,Country
Enschede Drien tot 13 dec,ESD,52.23749924,6.838889122,Forum,10,7521 PM,Enschede,Netherlands
Enschede Kennispark,ESK,52.23749924,6.838889122,Forum,10,7521 PM,Enschede,Netherlands
Epe (Westf),EEPE,52.18346,7.03009,Zum Bahnhof,42A,48599,Gronau (Westfalen),Germany
Ermelo,EML,52.30166626,5.614722252,Van Den Berghlaan,68,3853 KR,Ermelo,Netherlands
Eschweiler Hbf,ESCH,50.813532,6.251937,Reigate und Bandstead-Platz,1B,52249,Eschweiler,Germany
Eschweiler Talbahnhof,ESCHT,50.814759,6.263203,Bismarckstraße,3,52249,Eschweiler,Germany
Eschweiler-Nothberg,ESCHN,50.812827,6.293846,In den Benden,998,52249,Eschweiler,Germany
Eschweiler-Weisweiler,EWEIS,50.824371,6.320676,B264,??,52249,Eschweiler,Germany
Eschweiler-West,ESCHW,50.817712,6.251721,Steinstraße,11,52249,Eschweiler,Germany
Essen (Belgie),ESN,51.46261,4.45129,Stationsstraat,224,2910,Essen,Belgium
Etten-Leur,ETN,51.57500076,4.635833263,Stationsplein,2,4872 XL,Etten-Leur,Netherlands
Eygelshoven,EGH,50.89055634,6.045000076,Provinciale Weg,??,6469,Kerkrade,Netherlands
Eygelshoven Markt,EGHM,50.89604982,6.060247421,Hermanstraat,21,6471 XZ,Eygelshoven,Netherlands
Feanwalden,FWD,53.2351834,5.9886615,Stasjonwei,1,9269 PG,Feanwâlden,Netherlands
Fieberbrunn,FIEBER,47.49111,12.528,Bahnhofbichl,13,6391,Fieberbrunn,Austria
Franeker,FN,53.1824488,5.5483094,Anna Maria van Schurmansingel,59,8801 JR,Franeker,Netherlands
Frankfurt (M) Hbf,FFFM,50.1071222,8.6638338,Kaiserstraße,81,60329,Frankfurt am Main,Germany
Frankfurt (Oder),FRANKO,52.336163,14.546509,Bahnhofsplatz,11D,15230,Frankfurt (Oder),Germany
Frankfurt Flughafen Fernb,FNAF,50.05317103,8.57023716,B43,??,60549,Frankfurt am Main,Germany
